Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDRNT2S,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJH,PWDRVJS,PWDSCH,PWDSCS,TFWS
110124610,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Information Technology,,39397,,,,,,,,19337,23665,,,20024,,,,,,18077,18791,,17463,18651,,29839,24711,,90296,120788,,29028,42054,,,,,,,,,,,16467,17345,,15723,16680,,29888,,,79743,,,,,,,,,,,,,,,,,,,,,,11297
110135610,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electrical Engg[Electronics and Power],,,,,,,,,,74048,85885,,,54512,87220,,74419,,,57119,56621,,50928,56116,,77561,90229,,,,,,,,,,,,,,,,,53928,70997,,41887,43387,,62884,,,92091,,,,,,,,,,,,,,,,,,,,,,22778
110137210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Electronics and Telecommunication Engg,,90969,,,,,,,,45586,35746,48382,,43494,34049,,48023,95386,,34248,31938,,31271,30212,,49984,50173,,,,,34244,52873,,,,,25084,,,,,,31577,32286,,24097,27348,,59968,61316,,120331,,,,,,,,,,,,,,,,,,,,,,21727
110161210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Mechanical Engineering,,,,,,,,,,93002,85930,,,72666,,,106100,,,75284,88642,,64420,84338,,106848,79375,,,,,77632,,,,,,,,,,,,76382,92852,,68056,66377,,96842,,,,,,,,,,,,,,,,,,,,,,,,,45494
110519110,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Civil Engineering,,,,,,,,,,122007,101452,106719,,109625,105959,,107388,,,107447,107498,,97172,116713/96617,,120452,116047,,,,,117791,105965,,103451,,,99515,,,,,,99215,104794,,81835,91157,,112351,114147,,,,,103954,,,,,,,,,,,,,,,,,,,
110524210,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Computer Science and Engineering,89860,45018,,,,86363,48548,,,33849,31282,33437,,28273,40520,,34770,31206,,24384,30471,,22168,28684,,33141,35165,,79827,73486,,29306,47266,,30836,,,30937,,,,,,23271,27241,,20806,26486,,32962,34461,,88430,84129,,31121,,,,,,,122436/92097,,,,,,,,,,,,13157
110524610,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Information Technology,,61859,,,,90289,104311,,,46779,31436,47801,,37967,43968,,41742,,,33433,41582,,30946,37434,,36998,43709,,116838,,,39835,78651,,,,,43627,,,,,,30270,42746,,25801,39136,,33787,45206,,,,,,,,,,,,,,,,,,,,,,,,15970
110526310,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Artificial Intelligence (AI) and Data Science,,51835,,,,,,,,66428,46142,,,64430,,,113385,,,47752,49483,,44942,49439,,58783,57589,,,,,71090,,,,,,,,,,,,45786,69650,,43768,59462,,68526,,,,,,,,,,,,,,,,,,,,,,,,,37511
110526510,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Industrial IoT,,,,,,,,,,118357,,,,,,,,,,95889,92728,,86610,108672,,105691,118977,,,,,108654,,,,,,,,,,,,,76318,,71747,69818,,83521,,,,,,,,,,,,,,,,,,,,,,,,,56574
110537210,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Electronics and Telecommunication Engg,,,,,,,,,,83998,55849,105901,,69619,109405,,115939,,,57251,63592,,55017,55259,,71576,72138,,,,,68771,110724,,,,,64846,,,,,,54766,52518,,49238,52178,,70902,77644,,,,,80125,,,,,,,,,,,,,,,,,,,36177
110561210,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Mechanical Engineering,,,,,,,,,,107894,116382,100125,,,121337,,,,,105956,105840,,97701,120732,,122461,119711,,,,,114597,,,119215,,,112713,,,,,,107983,108076,,94187,101631,,114027,113830,,,,,,,,,,,,,,,,,,,,,,,,
110719110,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Civil Engineering,,,,,,,,,,121481,118218,,,100267,105944,,97708,,,91078,117696/92464,,80530,108368,,94989,121377,,117957,,,,119396,,,,,,,,,,,94881,95763,,87098,92630,,93351,102000,,,,,,,,,,,,,,,,,,,,,,,,57082
110724210,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Computer Science and Engineering,99943,70778,,,,79650,93033,,,60001,40902,64622,,52036,71152,,60667,60594,,40053,45956,,38369,44557,,47681,54518,,107593,75888,,48184,95118,,43812,,,38811,,,,,,38273,44642,,36408,44106,,46546,45708,,100296,58086,,48736,,,,,,,,,,,,,,,,,,,23056
110729310,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Electrical Engineering,,,,,,,,,,119017,73135,83630,,78054,84200,,,,,73006,87669,,68860,78517,,74043,78184,,,,,73449,,,,,,,,,,,,72460,97343,,60872,85847,,63122,90838,,,,,,,,,,,,,,,,,,,,,,,,46277
110737210,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Electronics and Telecommunication Engg,,75059,,,,,,,,90814,60956,,,80387,82081,,,,,60579,78241,,58889,76185,,73257,86678,,100831,,,87035,,,,,,,,,,,,57883,66707,,53078,51408,,74134,103315,,,,,,,,,,,,,,,,,,,,,,,,41964
110761210,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Mechanical Engineering,,,,,,,,,,110305,99932,,,108670,114055,,,,,95817,109124,,89771,99748,,100488,103897,,,,,,,,,,,,,,,,,99849,102084,,83973,95403,,89486,108804,,,,,,,,,,,,,,,,,,,,,,,,66118
110799510,"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Artificial Intelligence and Data Science,,,,,,,,,,77791,76137,,,60178,,,,,,51716,58006,,49508,55627,,62218,65763,,,108680,,67738,,,,,,,,,,,,49268,63263,,46476,53608,,49579,,,,,,,,,,,,,,,,,,,,,,,,,25402
111419110,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Civil Engineering,,122406,,,,,,,,122466,105542,106045,,112361,111694,,,,,96852,93921,,88716,122491,,106937,109319,,,,,105481,,,,,,,,,,,,86619,101184,,76525,86941,,99831,111644,,,,,,,,,,,,,,,,,,,,,,,,59246
111424210,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Computer Science and Engineering,111137,73554,,,,100783,,,,45879,35075,50236,,40499,46155,,46556,79738,,34394,39382,,33251,35785,,46260,43950,,106529,72833,,59330,109676,,47595,,,37064,,,,,,33308,27514,,29013,25086,,44592,36589,,103132,54321,,66571,,,,,,,110922,,,,,,,,,,,,16193
111424610,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Information Technology,,,,,,,,,,56822,50740,58501,,49858,46750,,69229,,,40522,46187,,39660,43571,,48814,52268,,96993,105889,,56864,79735,,,,,51963,,,,,,39102,39580,,37388,34209,,47572,54231,,119968,121545,,50066,,,,,,,,,,,,,,,,,,,20750
111437210,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Electronics and Telecommunication Engg,,91163,,,,,,,,82434,68734,80528,,75486,112880,,81193,,,60389,70200,,57711,67098,,74660,85168,,,,,81145,84388,,,,,66073,,,,,,57178,63315,,51365,57241,,68329,59746,,,,,114964,,,,,,,,,,,,,,,,,,,37931
111461210,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Mechanical Engineering,,,,,,,,,,112300,109756,,,117431,,,,,,101761,99885,,89673,107198/90798,,110764,97562,,93785,,,92800,114973,,,,,,,,,,,85788,107018,,81147,81833,,112621,113601,,,,,,,,,,,,,,,,,,,,,,,,72345
