Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDRNT2S,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJH,PWDRVJS,PWDSCH,PWDSCS,TFWS
319424510,"Vidyavardhini's College of Engineering and Technology, Vasai",Computer Engineering,,,,,,,,,,,,56117,,,38210,,,33165,,,27075,,,23440,,,37760,,,,,,35374,,,,,,,,,,,,34765,,,28888,,,57999,,,,,,,,,,,,,,,,,,,,,,,,
319424510,"Vidyavardhini's College of Engineering and Technology, Vasai",Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319424510,"Vidyavardhini's College of Engineering and Technology, Vasai",Computer Engineering,,45604,,,,,,,,26243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10120
319424610,"Vidyavardhini's College of Engineering and Technology, Vasai",Information Technology,,,,,,,,,,,35154,,,40327,,,27771,,,23439,,,15091,,,34904,,,69195,,,74691,,,,,,,,,,,,26213,,,18042,,,51619,,,88739,,,,,,,,,,,,,,,,,,,,,,
319424610,"Vidyavardhini's College of Engineering and Technology, Vasai",Information Technology,,,,,,,,,,,,,,,43636,,,,,,30356,,,28195,,,40187,,,,,,86012,,,,,,,,,,,,43849,,,39926,,,85452,,,,,,,,,,,,,,,,,,,,,,,,
319424610,"Vidyavardhini's College of Engineering and Technology, Vasai",Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319424610,"Vidyavardhini's College of Engineering and Technology, Vasai",Information Technology,,54195,,,,,,,,27964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10775
319437210,"Vidyavardhini's College of Engineering and Technology, Vasai",Electronics and Telecommunication Engg,,,,,,,,,,,93241,,,88128,,,62951,,,58878,,,48308,,,71176,,,,,,,,,,,,,,,,,,81624,,,47916,,,121602,,,,,,,,,,,,,,,,,,,,,,,,,
319437210,"Vidyavardhini's College of Engineering and Technology, Vasai",Electronics and Telecommunication Engg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319437210,"Vidyavardhini's College of Engineering and Technology, Vasai",Electronics and Telecommunication Engg,,,,,,,,,,,,,,,81178,,,,,,106806,,,78876,,,,,,,,,,,,,,,,,,,,,,,,116982,,,,,,,,,,,,,,,,,,,,,,,,,,,
319437210,"Vidyavardhini's College of Engineering and Technology, Vasai",Electronics and Telecommunication Engg,,,,,,,,,,,,,,,,,,,,,,,,,,,78518,,,,,,,,,,,,,,,,,,,,,,,,90635,,,,,,,,,,,,,,,,,,,,,,,,
319437210,"Vidyavardhini's College of Engineering and Technology, Vasai",Electronics and Telecommunication Engg,,104609,,,,,,,,64334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33809
319461210,"Vidyavardhini's College of Engineering and Technology, Vasai",Mechanical Engineering,,,,,,,,,,,,,,81416,,,91768,,,117937,,,65616,,,,,,80592,,,,,,,,,,,,,,,,,,64349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319461210,"Vidyavardhini's College of Engineering and Technology, Vasai",Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,,,,82960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319461210,"Vidyavardhini's College of Engineering and Technology, Vasai",Mechanical Engineering,,,,,,,,,,,,,,,,,,,,,108569,,,69885,,,,,,97253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319491210,"Vidyavardhini's College of Engineering and Technology, Vasai",Computer Science and Engineering(Data Science),,,,,,,,,,,20430,,,72904,,,31756,,,28556,,,19106,,,47786,,,,,,,,,,,,,,,,,,29448,,,19159,,,74937,,,,,,,,,,,,,,,,,,,,,,,,,
319491210,"Vidyavardhini's College of Engineering and Technology, Vasai",Computer Science and Engineering(Data Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
