collegeid,college name,course,merit number,seat type,percentile
100219110,"Government College of Engineering, Amravati",Civil Engineering,27904.0,DEFOPENS,81.4574352
100219110,"Government College of Engineering, Amravati",Civil Engineering,38962.0,GNT2S,73.4175234
100219110,"Government College of Engineering, Amravati",Civil Engineering,53159.0,GNT3S,61.5287969
100219110,"Government College of Engineering, Amravati",Civil Engineering,28672.0,GOBCS,80.9163492
100219110,"Government College of Engineering, Amravati",Civil Engineering,21691.0,GOPENS,85.7972491
100219110,"Government College of Engineering, Amravati",Civil Engineering,35299.0,GSCS,76.1558002
100219110,"Government College of Engineering, Amravati",Civil Engineering,29845.0,LOBCS,80.2221661
100219110,"Government College of Engineering, Amravati",Civil Engineering,27868.0,LOPENS,81.6162428
100219110,"Government College of Engineering, Amravati",Civil Engineering,32621.0,LSCS,78.0920124
100219110,"Government College of Engineering, Amravati",Civil Engineering,75295.0,LVJS,38.0490502
100219110,"Government College of Engineering, Amravati",Civil Engineering,14287.0,PWDOPENS,90.5652448
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,13183.0,GNT3S,91.386069
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,5620.0,GOBCS,96.2332744
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,5592.0,GOPENS,96.273876
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,11188.0,GSCS,92.6277166
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,20056.0,GSTS,86.7795899
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,17529.0,LNT2S,88.5585207
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,6462.0,LOBCS,95.7045655
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,6014.0,LOPENS,95.9550326
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,6353.0,ORPHAN,95.7754393
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,29580.0,PWDOPENS,80.3937702
100224610,"Government College of Engineering, Amravati",Information Technology,12957.0,GNT1S,91.495062
100224610,"Government College of Engineering, Amravati",Information Technology,14878.0,GNT3S,90.2037697
100224610,"Government College of Engineering, Amravati",Information Technology,8228.0,GOBCS,94.5698815
100224610,"Government College of Engineering, Amravati",Information Technology,7935.0,GOPENS,94.7458125
100224610,"Government College of Engineering, Amravati",Information Technology,12251.0,GSCS,91.9565766
100224610,"Government College of Engineering, Amravati",Information Technology,7909.0,LOPENS,94.7678084
100224610,"Government College of Engineering, Amravati",Information Technology,8536.0,ORPHAN,94.3502248
100224610,"Government College of Engineering, Amravati",Information Technology,6915.0,TFWS,95.3951022
100229310,"Government College of Engineering, Amravati",Electrical Engineering,19001.0,DEFOPENS,87.5485988
100229310,"Government College of Engineering, Amravati",Electrical Engineering,51766.0,GNT3S,62.8388317
100229310,"Government College of Engineering, Amravati",Electrical Engineering,24322.0,GOBCS,84.0141378
100229310,"Government College of Engineering, Amravati",Electrical Engineering,21196.0,GOPENS,86.0186822
100229310,"Government College of Engineering, Amravati",Electrical Engineering,32002.0,GSCS,78.5807619
100229310,"Government College of Engineering, Amravati",Electrical Engineering,47304.0,LNT2S,66.7554528
100229310,"Government College of Engineering, Amravati",Electrical Engineering,15540.0,LOPENS,89.8191663
100229310,"Government College of Engineering, Amravati",Electrical Engineering,29251.0,LSCS,80.7066037
100229310,"Government College of Engineering, Amravati",Electrical Engineering,40042.0,TFWS,72.5940324
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,14414.0,GNT2S,90.5087863
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,17525.0,GNT3S,88.5585207
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,14382.0,GOBCS,90.5390596
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,12809.0,GOPENS,91.5971454
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,24353.0,GSCS,84.0034174
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,10098.0,LOBCS,93.3516855
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,9817.0,LOPENS,93.5722183
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,23134.0,LSCS,84.7756139
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,38100.0,LVJS,74.2590255
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,9569.0,PWDOPENS,93.7219044
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,15904.0,TFWS,89.5517066
