Sr. No.	Institute Code	Institute Name	Status	Total Intake
264.	06269	Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli	Un-Aided	630
265.	06270	Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara	Un-Aided	420
266.	06271	Pune Institute of Computer Technology	Un-Aided, Autonomous	780
267.	06272	Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune	Un-Aided, Autonomous	1080
268.	06273	Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune	Un-Aided, Autonomous	3660
269.	06274	Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of Management, Pune	Un-Aided	540
270.	06275	Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati	Un-Aided	450
271.	06276	MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune	Un-Aided, Autonomous	600
272.	06277	Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur	Un-Aided, Autonomous	360
273.	06278	All India Shri Shivaji Memorial Society's College of Engineering, Pune	Un-Aided	840
274.	06281	Modern Education Society's Wadia College of Engineering, Pune	Un-Aided	540
275.	06282	All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune	Un-Aided, Autonomous	600
276.	06283	Annasaheb Dange College of Engineering and Technology, Ashta, Sangli	Un-Aided, Autonomous	690
277.	06284	Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune	Un-Aided, Autonomous	540
278.	06285	Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune	Un-Aided	300
279.	06288	Bharati Vidyapeeth's College of Engineering, Kolhapur	Un-Aided	360
280.	06293	Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's Bramhadevdada Mane Institute of Technology, Solapur	Un-Aided	300
281.	06298	Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune	Un-Aided, Autonomous	1500
282.	06303	Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering, Karad	Un-Aided	300
283.	06304	Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli	Un-Aided	300
284.	06305	Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara	Un-Aided	210
285.	06307	Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli	Un-Aided	255
286.	06308	Shanti Education Society, A.G. Patil Institute of Technology, Soregaon, Solapur(North)	Un-Aided	240
287.	06310	Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon station, Pune	Un-Aided	960
288.	06311	Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi	Un-Aided	540
289.	06313	Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali	Un-Aided	270
290.	06315	Sanjeevan Group of Institutions	Un-Aided	360
291.	06317	Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)	Un-Aided, Autonomous	690
292.	06318	Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi	Un-Aided	240
293.	06319	Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur	Un-Aided	390
294.	06320	K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli	Un-Aided	570
295.	06321	Vidya Vikas Pratishthan Institute of Engineering and Technology, Solapur	Un-Aided	300
296.	06322	Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi	Un-Aided	150
297.	06324	Rajgad Dnyanpeeth's Shri Chhatrapati Shivajiraje College of Engineering, Bhor	Un-Aided	360
298.	06325	Alard Charitable Trust's Alard College of Engineering and Management, Pune	Un-Aided, Linguistic Minority - Hindi	480
299.	06326	Karmayogi Institute of Technology	Un-Aided	240
300.	06402	NEW INSTITUTE OF TECHNOLOGY,KOLHAPUR 	Un-Aided	240
301.	06444	Shriram Institute Of Engineering & Technology, (Poly), Paniv	Un-Aided	180
302.	06466	Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad	Un-Aided	180
303.	06468	Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur	Un-Aided	360
304.	06545	Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara.	Un-Aided	360
305.	06609	Jaihind College Of Engineering,Kuran 	Un-Aided	360
306.	06622	ISBM College Of Engineering Pune	Un-Aided, Linguistic Minority - Hindi	630
307.	06625	Universal College of Engineering & Research, Sasewadi	Un-Aided	91
308.	06628	Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune	Un-Aided	360
309.	06632	Navsahyadri Education Society's Group of Institutions	Un-Aided	480
310.	06634	KJEI's Trinity Academy of Engineering, Yewalewadi, Pune	Un-Aided	360
311.	06635	Samarth College of Engineering and Management	Un-Aided	390
312.	06640	N. B. Navale Sinhgad College of Engineering, Kegaon, solapur	Un-Aided	360
313.	06643	S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur	Un-Aided	360
314.	06644	Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj	Un-Aided	300
315.	06649	TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune	Un-Aided	420
316.	06714	APPASAHEB ALIAS SA.RE.PATIL INSTITUTE OF TECHNOLOGY, Dattanagar Tal-Shirol, Dist Kolhapur	Un-Aided	240
317.	06732	Ajeenkya DY Patil School of Engineering, Lohegaon, Pune	Un-Aided	840
318.	06754	International Institute of Information Technology (I²IT), Pune.	Un-Aided	360
319.	06755	JSPM Narhe Technical Campus, Pune.	Un-Aided	480
320.	06756	Fabtech Technical Campus College of Engineering and Research, Sangola	Un-Aided	360
321.	06757	Yashoda Technical Campus, Wadhe, Satara.	Un-Aided	630
322.	06758	Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.	Un-Aided	240
323.	06759	Shree Ramchandra College of Engineering, Lonikand,Pune	Un-Aided	210
324.	06762	Nanasaheb Mahadik College of Engineering,Walwa, Sangli.	Un-Aided	315
325.	06766	Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara 	Un-Aided	300
326.	06767	Suman Ramesh Tulsiani Technical Campus Faculty of Engineering, Kamshet,Pune.	Un-Aided	360
327.	06768	P.K. Technical Campus, Pune.	Un-Aided	120
328.	06769	Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.	Un-Aided	480
329.	06770	SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.	Un-Aided	210
330.	06771	Flora Institute of Technology, Khopi, Near Khed Shivapur Toll Plaza, Pune	Un-Aided	150
331.	06772	NBN Sinhgad Technical Institutes Campus, Pune	Un-Aided	450
332.	06780	D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering & Faculty of Management,Talsande,Kolhapur.	Un-Aided, Autonomous	360
333.	06781	Bhagwant Institute of Technology, Barshi	Un-Aided	300
334.	06782	Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj	Un-Aided	330
335.	06794	Anantrao Pawar College of Engineering & Research, Pune	Un-Aided	480
336.	06795	Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar	Un-Aided	210
337.	06796	Bharati Vidyapeeth's College of Engineering,Lavale, Pune	Un-Aided	300
338.	06797	Dnyanshree Institute Engineering and Technology, Satara	Un-Aided	240
339.	06799	Shivganga Charitable Trust, Sangli Vishveshwarya Technical Campus, Faculty of Diploma Engineering, Patgaon, Miraj	Un-Aided	150
340.	06803	Sant Gajanan Maharaj College of Engineering, Gadhinglaj	Un-Aided	300
341.	06808	Keystone School of Engineering, Pune	Un-Aided	354
342.	06811	Sanjay Ghodawat Institute	Un-Aided	300
343.	06815	Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala	Un-Aided	120
344.	06822	Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet	Un-Aided	600
345.	06834	Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon	Un-Aided	240
346.	06839	Dr. D Y Patil Pratishthan's College of Engineering, Kolhapur	Un-Aided	360
347.	06878	Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur	Un-Aided	390
348.	06901	MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi	Un-Aided	300
349.	06938	Shree Siddheshwar Women's College Of Engineering Solapur.	Un-Aided	360
350.	06991	Dr. D.Y. Patil Technical Campus, Varale, Talegaon, Pune	Un-Aided	600
351.	14005	Laxminarayan Innovation Technological University, Nagpur	University, Autonomous	150
352.	16006	COEP Technological University 	University, Autonomous	863
353.	16121	Shri. Anandrao Abitkar College of Engineering, Pal 	Un-Aided	360
354.	16126	Tatyasaheb Kore Institute of Engineering and Technology, Yelur	Un-Aided, Autonomous	360
