collegeid,college name,course,merit number,seat type,percentile
100219110,"Government College of Engineering, Amravati",Civil Engineering,56495.0,DEFOPENS,67.4824177
100219110,"Government College of Engineering, Amravati",Civil Engineering,54700.0,GNT1S,69.0394836
100219110,"Government College of Engineering, Amravati",Civil Engineering,39532.0,GOBCS,78.3496848
100219110,"Government College of Engineering, Amravati",Civil Engineering,37795.0,GOPENS,79.4751328
100219110,"Government College of Engineering, Amravati",Civil Engineering,45622.0,LOPENS,74.5211181
100219110,"Government College of Engineering, Amravati",Civil Engineering,36791.0,PWDOPENS,79.8656107
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,10441.0,EWS,94.3125425
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,11944.0,GNT3S,93.5601746
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,5429.0,GOPENS,96.9378449
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,5770.0,TFWS,96.7777145
100224610,"Government College of Engineering, Amravati",Information Technology,11889.0,EWS,93.5655058
100229310,"Government College of Engineering, Amravati",Electrical Engineering,38342.0,GNT1S,79.1079584
100229310,"Government College of Engineering, Amravati",Electrical Engineering,27030.0,GOPENS,85.5965895
100229310,"Government College of Engineering, Amravati",Electrical Engineering,31365.0,GSCS,83.1461738
100229310,"Government College of Engineering, Amravati",Electrical Engineering,26357.0,PWDOPENS,85.7967175
100229310,"Government College of Engineering, Amravati",Electrical Engineering,47231.0,TFWS,73.5739966
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,15853.0,GOBCS,91.4874509
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,14276.0,GOPENS,92.287017
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,13966.0,LOBCS,92.4845102
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,13059.0,LOPENS,92.9348086
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,19218.0,ORPHAN,89.629736
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,17058.0,TFWS,90.8078665
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,46318.0,GOBCS,74.2260244
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,26952.0,GOPENS,85.5965895
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,61321.0,GSCS,64.0609282
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,49540.0,GVJS,72.4718017
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,74298.0,PWDOPENS,54.1780657
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,62818.0,GNT1S,63.5478045
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,69619.0,GNT2S,57.9292585
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,72385.0,GNT3S,56.3628587
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,42993.0,GOPENS,76.4889836
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,49782.0,GSCS,71.9798416
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,31523.0,LOPENS,82.9381616
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,63573.0,LSCS,63.050238
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,45705.0,LSTS,74.5106403
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,69613.0,PWDOPENS,57.9292585
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,96679.0,GOPENH,34.6668564
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,57940.0,GSCH,66.5894149
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,66723.0,GVJH,60.6284658
100550310,"Sant Gadge Baba Amravati University,Amravati",Food Technology,89005.0,EWS,42.0206383
100551710,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,102372.0,GOPENH,28.4665226
100551710,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,96984.0,GOPENH,34.1210946
100551710,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,53427.0,GOPENO,69.6045087
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,116376.0,GOPENH,10.4981278
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,76951.0,GSCH,52.4476185
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,22362.0,GOPENO,87.985064
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,98733.0,EWS,32.2621925
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,95749.0,GNT1H,35.6598862
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,59024.0,GNT2H,66.0248119
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,89524.0,GOPENH,41.9139826
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,90335.0,GSTH,39.8713522
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,91426.0,GNT2O,39.4227966
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,69306.0,GOBCO,58.8006082
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,84920.0,GOPENO,45.6704109
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,117644.0,GSCO,8.6023034
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,87613.0,LOPENO,43.0138429
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,82232.0,GNT1O,48.2193247
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,69127.0,DEFOPENS,58.8113371
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,78139.0,TFWS,51.2600953
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,50993.0,GNT1H,71.197687
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,44726.0,GNT3H,75.3508645
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,25290.0,GOPENH,86.3666603
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,44134.0,GSCH,75.6049358
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,43484.0,LSCH,75.7886771
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,18498.0,GOBCO,90.0081429
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,13883.0,GOPENO,92.5464629
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,30348.0,GSCO,83.4797216
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,67150.0,GSTO,60.0860804
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,22538.0,EWS,87.8986332
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,97174.0,GNT3H,33.5099087
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,64775.0,GOPENH,61.9054461
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,65905.0,GSCH,61.2621174
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,85843.0,GSTH,44.9304271
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,95748.0,GVJH,35.6598862
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,78506.0,LSCH,51.2359011
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,67189.0,GOBCO,60.0860804
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,48757.0,GOPENO,72.7702415
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,64306.0,LOBCO,62.0823842
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,60474.0,LOPENO,64.886326
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,93458.0,GNT2O,38.17388
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,98309.0,GVJO,32.3435843
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,66213.0,DEFOPENS,60.7344231
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,76817.0,TFWS,52.4476185
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,54743.0,GOBCH,69.0394836
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,46604.0,GOPENH,74.1753429
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,64283.0,GSCH,62.0823842
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,54428.0,LSCH,69.1685966
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,110493.0,GSTH,18.375784
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,39550.0,GOPENO,78.3496848
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,46085.0,GSCO,74.364085
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,46131.0,LOBCO,74.364085
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,35955.0,LOPENO,80.4540499
101237210,"Government College of Engineering,Yavatmal",Electronics and Telecommunication Engg,48968.0,ORPHAN,72.7060426
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,95571.0,GOBCH,35.6983743
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,75971.0,GOPENH,53.8866742
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,83458.0,LOPENH,46.941483
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,72380.0,GNT1O,56.3628587
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,91978.0,GOBCO,39.3128682
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,69404.0,GOPENO,58.8006082
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,80470.0,GSCO,49.4442605
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,101287.0,GSTO,29.3331437
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,91643.0,LOBCO,39.4196471
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,95322.0,LSCO,35.6983743
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,56642.0,DEFOPENS,67.4824177
101261210,"Government College of Engineering,Yavatmal",Mechanical Engineering,93610.0,TFWS,37.5478565
110124210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,14210.0,GOPENH,92.3335702
110124210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,13910.0,LOPENH,92.5464629
110124210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,14385.0,GOBCO,92.2346476
110124210,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Computer Science and Engineering,12597.0,LOBCO,93.1750461
