collegeid,college name,course,merit number,seat type,percentile
100219110,"Government College of Engineering, Amravati",Civil Engineering,114710.0,DEFOPENS,36.1619626
100219110,"Government College of Engineering, Amravati",Civil Engineering,51497.0,EWS,78.067557
100219110,"Government College of Engineering, Amravati",Civil Engineering,55202.0,GNT1S,76.2843676
100219110,"Government College of Engineering, Amravati",Civil Engineering,47207.0,GNT2S,79.8081214
100219110,"Government College of Engineering, Amravati",Civil Engineering,58799.0,GNT3S,74.1935484
100219110,"Government College of Engineering, Amravati",Civil Engineering,55212.0,GOBCS,76.2843676
100219110,"Government College of Engineering, Amravati",Civil Engineering,45820.0,GOPENS,80.7328826
100219110,"Government College of Engineering, Amravati",Civil Engineering,54803.0,GSCS,76.6166542
100219110,"Government College of Engineering, Amravati",Civil Engineering,85528.0,GSTS,58.7429854
100219110,"Government College of Engineering, Amravati",Civil Engineering,53198.0,GVJS,76.9213416
100219110,"Government College of Engineering, Amravati",Civil Engineering,71604.0,LNT1S,67.3938217
100219110,"Government College of Engineering, Amravati",Civil Engineering,59895.0,LNT2S,73.642653
100219110,"Government College of Engineering, Amravati",Civil Engineering,85506.0,LNT3S,58.7429854
100219110,"Government College of Engineering, Amravati",Civil Engineering,50933.0,LOBCS,78.3308876
100219110,"Government College of Engineering, Amravati",Civil Engineering,39555.0,LOPENS,83.4053417
100219110,"Government College of Engineering, Amravati",Civil Engineering,58069.0,LSCS,75.0737739
100219110,"Government College of Engineering, Amravati",Civil Engineering,81275.0,LSTS,61.4332053
100219110,"Government College of Engineering, Amravati",Civil Engineering,55889.0,LVJS,75.867353
100219110,"Government College of Engineering, Amravati",Civil Engineering,66222.0,PWDOPENS,70.5106049
100219110,"Government College of Engineering, Amravati",Civil Engineering,25437.0,TFWS,89.690179
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,14766.0,DEFOPENS,94.1664477
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,16792.0,DEFROBCS,93.2969235
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,10297.0,EWS,95.9738402
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,13430.0,GNT1S,94.6808113
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,10052.0,GNT2S,96.0633178
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,15513.0,GNT3S,93.8260094
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,7626.0,GOBCS,97.0482604
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,6839.0,GOPENS,97.3642653
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,14995.0,GSCS,94.0441452
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,42063.0,GSTS,82.3107244
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,10351.0,GVJS,95.9541871
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,8159.0,LOBCS,96.8581856
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,7359.0,LOPENS,97.1523959
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,18093.0,LSCS,92.733306
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,46043.0,LSTS,80.6210251
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,41373.0,PWDOPENS,82.4643661
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,45737.0,PWDROBC,80.8641005
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,6790.0,TFWS,97.3792778
100224610,"Government College of Engineering, Amravati",Information Technology,30013.0,DEFOPENS,87.6984872
100224610,"Government College of Engineering, Amravati",Information Technology,30456.0,DEFROBCS,87.4817577
100224610,"Government College of Engineering, Amravati",Information Technology,12526.0,EWS,95.0827713
100224610,"Government College of Engineering, Amravati",Information Technology,16268.0,GNT1S,93.521357
100224610,"Government College of Engineering, Amravati",Information Technology,12552.0,GNT2S,95.0744473
100224610,"Government College of Engineering, Amravati",Information Technology,16999.0,GNT3S,93.2108027
100224610,"Government College of Engineering, Amravati",Information Technology,11044.0,GOBCS,95.6795422
100224610,"Government College of Engineering, Amravati",Information Technology,10303.0,GOPENS,95.9738402
100224610,"Government College of Engineering, Amravati",Information Technology,18667.0,GSCS,92.4862529
100224610,"Government College of Engineering, Amravati",Information Technology,43516.0,GSTS,81.8534982
100224610,"Government College of Engineering, Amravati",Information Technology,23597.0,GVJS,90.4575998
100224610,"Government College of Engineering, Amravati",Information Technology,16115.0,LNT1S,93.5868331
100224610,"Government College of Engineering, Amravati",Information Technology,12233.0,LNT2S,95.2175544
100224610,"Government College of Engineering, Amravati",Information Technology,10354.0,LOBCS,95.9541871
100224610,"Government College of Engineering, Amravati",Information Technology,9567.0,LOPENS,96.2787373
100224610,"Government College of Engineering, Amravati",Information Technology,21001.0,LSCS,91.4895289
100224610,"Government College of Engineering, Amravati",Information Technology,55122.0,LSTS,76.2843676
100224610,"Government College of Engineering, Amravati",Information Technology,66253.0,PWDOPENS,70.5106049
100224610,"Government College of Engineering, Amravati",Information Technology,71173.0,PWDRSCS,67.711928
100224610,"Government College of Engineering, Amravati",Information Technology,9138.0,TFWS,96.4414768
100229310,"Government College of Engineering, Amravati",Electrical Engineering,92685.0,DEFOPENS,54.0043616
100229310,"Government College of Engineering, Amravati",Electrical Engineering,37774.0,EWS,84.2884307
100229310,"Government College of Engineering, Amravati",Electrical Engineering,42146.0,GNT1S,82.251586
100229310,"Government College of Engineering, Amravati",Electrical Engineering,47720.0,GNT2S,79.7807688
100229310,"Government College of Engineering, Amravati",Electrical Engineering,34759.0,GOBCS,85.4752553
100229310,"Government College of Engineering, Amravati",Electrical Engineering,31193.0,GOPENS,87.2113119
100229310,"Government College of Engineering, Amravati",Electrical Engineering,45777.0,GSCS,80.7328826
100229310,"Government College of Engineering, Amravati",Electrical Engineering,92626.0,GSTS,54.0043616
100229310,"Government College of Engineering, Amravati",Electrical Engineering,39357.0,GVJS,83.4300164
100229310,"Government College of Engineering, Amravati",Electrical Engineering,87211.0,LNT3S,58.0840122
100229310,"Government College of Engineering, Amravati",Electrical Engineering,31414.0,LOBCS,87.0556299
100229310,"Government College of Engineering, Amravati",Electrical Engineering,26636.0,LOPENS,89.1600241
100229310,"Government College of Engineering, Amravati",Electrical Engineering,34812.0,LSCS,85.4752553
100229310,"Government College of Engineering, Amravati",Electrical Engineering,121868.0,LSTS,29.2444305
100229310,"Government College of Engineering, Amravati",Electrical Engineering,32994.0,LVJS,86.3550668
100229310,"Government College of Engineering, Amravati",Electrical Engineering,24140.0,TFWS,90.1850615
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,50151.0,DEFOPENS,78.4161664
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,62434.0,DEFROBCS,72.394012
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,20602.0,EWS,91.7108778
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,17854.0,GNT1S,92.8593873
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,21528.0,GNT2S,91.2629338
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,30062.0,GNT3S,87.6984872
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,17589.0,GOBCS,93.0014674
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,16356.0,GOPENS,93.495874
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,27969.0,GSCS,88.5960295
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,89313.0,GSTS,56.656397
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,30699.0,GVJS,87.3774785
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,22022.0,LNT2S,91.0376802
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,16887.0,LOBCS,93.2464234
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,14555.0,LOPENS,94.2498036
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,25655.0,LSCS,89.5231349
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,81186.0,LSTS,61.6397637
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,41670.0,LVJS,82.4443082
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,129864.0,PWDOPENS,20.1485207
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,14528.0,TFWS,94.2498036
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,51922.0,EWS,77.9969992
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,64948.0,GNT2S,71.2687819
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,60742.0,GOBCS,73.3779089
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,52017.0,GOPENS,77.9969992
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,70454.0,GSCS,68.3823818
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,113354.0,GSTS,37.6936381
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,110749.0,GVJS,39.9066862
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,73493.0,LNT1S,66.4309764
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,60133.0,LOBCS,73.4246062
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,49557.0,LOPENS,78.8754662
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,73669.0,LSCS,66.4309764
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,108341.0,LSTS,42.4233825
100246610,"Government College of Engineering, Amravati",Instrumentation Engineering,36146.0,TFWS,85.1537884
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,42232.0,EWS,82.251586
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,47365.0,GNT1S,79.8081214
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,50166.0,GNT2S,78.4161664
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,56879.0,GNT3S,75.1725431
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,43574.0,GOBCS,81.8534982
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,38651.0,GOPENS,84.0516274
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,61419.0,GSCS,73.1851907
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,117713.0,GSTS,33.2472877
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,56910.0,GVJS,75.1725431
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,49939.0,LNT2S,78.5775598
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,55239.0,LOBCS,76.2843676
100261210,"Government College of Engineering, Amravati",Mechanical Engineering,41931.0,LOPENS,82.3107244
