Sr. No.,Institute Code,Institute Name,Status,Total Intake
65.0,3143,"Thakur Shyamnarayan Engineering College, Mumbai","Un-Aided, Linguistic Minority - Hindi",300
66.0,3146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai",Un-Aided,510
67.0,3147,"Saraswati Education Society, Yadavrao Tasgaonkar Institute of Engineering & Technology, Karjat",Un-Aided,300
68.0,3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai","Un-Aided, Autonomous, Linguistic Minority - Gujarathi(Jain)",720
69.0,3154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai",Un-Aided,600
70.0,3175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai ",Un-Aided,750
71.0,3176,"Thakur College of Engineering and Technology, Kandivali, Mumbai","Un-Aided, Autonomous, Linguistic Minority - Hindi",1230
72.0,3182,"Thadomal Shahani Engineering College, Bandra, Mumbai","Un-Aided, Linguistic Minority - Sindhi",540
73.0,3183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai","Un-Aided, Religious Minority - Muslim",420
74.0,3184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai","Un-Aided, Autonomous, Religious Minority - Christian",360
75.0,3185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai","Un-Aided, Autonomous, Linguistic Minority - Sindhi",720
76.0,3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Un-Aided,960
77.0,3188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Un-Aided,420
78.0,3189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Un-Aided,540
79.0,3190,"Terna Engineering College, Nerul, Navi Mumbai",Un-Aided,660
80.0,3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Un-Aided,420
81.0,3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Un-Aided,340
82.0,3194,"Vidyavardhini's College of Engineering and Technology, Vasai",Un-Aided,720
83.0,3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai","Un-Aided, Linguistic Minority - Hindi",540
84.0,3197,"Agnel Charities FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai","Un-Aided, Autonomous, Religious Minority - Christian",420
85.0,3198,"Konkan Gyanpeeth College of Engineering, Karjat",Un-Aided,300
86.0,3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Un-Aided, Autonomous, Linguistic Minority - Gujarathi",1140
87.0,3200,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri",Un-Aided,420
88.0,3201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai","Un-Aided, Religious Minority - Muslim",360
89.0,3202,Rajendra Mane College of Engineering & Technology Ambav Deorukh,Un-Aided,180
90.0,3203,"Atharva College of Engineering,Malad(West),Mumbai",Un-Aided,480
