collegeid,college name,course,merit number,seat type,percentile
100219110,"Government College of Engineering, Amravati",Civil Engineering,21718.0,GNT1S,84.9867329
100219110,"Government College of Engineering, Amravati",Civil Engineering,30453.0,GNT2S,78.6913723
100219110,"Government College of Engineering, Amravati",Civil Engineering,16685.0,GOBCS,88.4669272
100219110,"Government College of Engineering, Amravati",Civil Engineering,15776.0,GOPENS,89.1295044
100219110,"Government College of Engineering, Amravati",Civil Engineering,17165.0,GSCS,88.1835221
100219110,"Government College of Engineering, Amravati",Civil Engineering,49645.0,GSTS,61.5008019
100219110,"Government College of Engineering, Amravati",Civil Engineering,28439.0,LNT2S,80.1092735
100219110,"Government College of Engineering, Amravati",Civil Engineering,16120.0,LOBCS,88.8762122
100219110,"Government College of Engineering, Amravati",Civil Engineering,9318.0,LOPENS,93.5175192
100219110,"Government College of Engineering, Amravati",Civil Engineering,14004.0,ORPHAN,90.3542062
100219110,"Government College of Engineering, Amravati",Civil Engineering,22669.0,PWDOPENS,84.3283582
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,12303.0,DEFOPENS,91.4493121
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,2973.0,EWS,97.8369823
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,4935.0,GOBCS,96.5053763
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,4250.0,GOPENS,96.9865789
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,28428.0,GSTS,80.1315568
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,3990.0,LOPENS,97.1204962
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,6175.0,ORPHAN,95.6613489
100224610,"Government College of Engineering, Amravati",Information Technology,6957.0,GOBCS,95.0924207
100224610,"Government College of Engineering, Amravati",Information Technology,6699.0,GOPENS,95.2607052
100224610,"Government College of Engineering, Amravati",Information Technology,13265.0,GSCS,90.8751696
100224610,"Government College of Engineering, Amravati",Information Technology,39961.0,GSTS,70.8036549
100224610,"Government College of Engineering, Amravati",Information Technology,30316.0,LNT3S,78.7873849
100224610,"Government College of Engineering, Amravati",Information Technology,5156.0,LOBCS,96.3524828
100224610,"Government College of Engineering, Amravati",Information Technology,5135.0,LOPENS,96.3685996
100224610,"Government College of Engineering, Amravati",Information Technology,6390.0,ORPHAN,95.5178877
100224610,"Government College of Engineering, Amravati",Information Technology,8331.0,PWDOPENS,94.165536
100229310,"Government College of Engineering, Amravati",Electrical Engineering,67209.0,DEFOPENS,40.1592803
100229310,"Government College of Engineering, Amravati",Electrical Engineering,16791.0,DEFROBCS,88.4023565
100229310,"Government College of Engineering, Amravati",Electrical Engineering,24275.0,GNT3S,83.2244189
100229310,"Government College of Engineering, Amravati",Electrical Engineering,16817.0,GOBCS,88.3934219
100229310,"Government College of Engineering, Amravati",Electrical Engineering,14715.0,GOPENS,89.8624124
100229310,"Government College of Engineering, Amravati",Electrical Engineering,19080.0,GSCS,86.8225057
100229310,"Government College of Engineering, Amravati",Electrical Engineering,40844.0,GSTS,70.0898915
100229310,"Government College of Engineering, Amravati",Electrical Engineering,15689.0,GVJS,89.1321551
100229310,"Government College of Engineering, Amravati",Electrical Engineering,14088.0,LOBCS,90.2594711
100229310,"Government College of Engineering, Amravati",Electrical Engineering,21809.0,LSCS,84.9497763
100229310,"Government College of Engineering, Amravati",Electrical Engineering,14485.0,ORPHAN,90.0024869
100229310,"Government College of Engineering, Amravati",Electrical Engineering,53289.0,PWDOPENS,57.8190533
100237210,"Government College of Engineering, Amravati",Electronics and Telecommunication Engg,12370.0,DEFOPENS,91.4432402
