collegeid,college name,merit number,seat type,percentile
621737210,6217,98761,AI,50.5614783
654524210,6545,99198,AI,49.4442605
631729310,6317,100388,AI,48.1419882
679619110,6796,100865,AI,47.7695520
664029310,6640,101911,AI,45.9187639
464824610,4648,102203,AI,45.6704109
631824210,6318,102322,AI,45.2718114
213829310,2138,102347,AI,45.2718114
654537210,6545,103277,AI,44.6471616
322491110,3224,103533,AI,43.3167495
513950710,5139,103629,AI,43.3051128
321761210,3217,103822,AI,43.3051128
675624210,6756,103876,AI,43.0138429
516129310,5161,103981,AI,43.0138429
213484410,2134,104161,AI,42.8034319
541861210,5418,104210,AI,42.8034319
516091510,5160,104275,AI,42.8034319
625050710,6250,104634,AI,42.5186027
510819110,5108,105105,AI,42.0206383
622261210,6222,105501,AI,41.4815869
675799510,6757,106320,AI,39.5925136
631762410,6317,107261,AI,39.1582539
318319110,3183,107533,AI,38.6417086
680329310,6803,107631,AI,38.5667023
626792210,6267,107822,AI,38.1738800
418137210,4181,108087,AI,37.5478565
419661210,4196,108131,AI,37.5478565
613961210,6139,108312,AI,36.7166438
211329310,2113,108465,AI,36.1623265
622019110,6220,108846,AI,35.9780390
631129310,6311,108955,AI,35.9780390
627484310,6274,109090,AI,35.8351101
418161210,4181,109387,AI,35.6983743
419235610,4192,109459,AI,35.6983743
346537210,3465,109626,AI,35.6598862
629829310,6298,109654,AI,35.6598862
112761210,1127,109708,AI,35.3945703
632124210,6321,110013,AI,35.1475881
677229310,6772,110149,AI,34.6668564
675737210,6757,110312,AI,34.1210946
629819110,6298,110344,AI,34.1210946
620719110,6207,110459,AI,34.1210946
664361210,6643,110633,AI,33.5099087
618461210,6184,110814,AI,33.0830640
680219110,6802,110967,AI,32.5908894
213099510,2130,111226,AI,32.4992712
627561210,6275,111426,AI,32.3435843
112719110,1127,111696,AI,32.2127079
253361210,2533,111827,AI,32.2127079
626992610,6269,112421,AI,31.5015186
664419110,6644,112723,AI,30.0146620
321650710,3216,112894,AI,29.9372742
414719110,4147,112949,AI,29.9372742
680861210,6808,112970,AI,29.9372742
630524210,6305,112989,AI,29.9372742
629337210,6293,113127,AI,29.3528763
628329310,6283,113138,AI,29.3528763
510461210,5104,113294,AI,29.3331437
518437210,5184,113354,AI,29.3331437
673219110,6732,113448,AI,29.2342823
628161210,6281,113713,AI,28.9481366
413519110,4135,114382,AI,28.1605922
675626310,6756,114473,AI,28.1605922
664961210,6649,114495,AI,28.1605922
319461210,3194,114512,AI,28.1605922
622329310,6223,114585,AI,27.3337429
621462410,6214,114775,AI,26.9007793
676237210,6762,114895,AI,26.7890081
213624610,2136,115271,AI,26.2202423
516161210,5161,115772,AI,25.4603297
416370110,4163,115841,AI,25.4603297
225229710,2252,115947,AI,25.3179745
516937210,5169,116018,AI,25.3179745
515119110,5151,116422,AI,24.8766135
126561210,1265,116434,AI,24.8766135
513919110,5139,116477,AI,23.9925869
347561210,3475,116479,AI,23.9925869
664319110,6643,116930,AI,23.4829494
631761210,6317,117074,AI,23.2238494
