Id,College Name,Course,DEFOBCS,DEFOPENS,DEFRNT1S,DEFRNT2S,DEFRNT3S,DEFROBCS,DEFRSCS,DEFRVJS,DEFSCS,EWS,GNT1H,GNT1O,GNT1S,GNT2H,GNT2O,GNT2S,GNT3H,GNT3O,GNT3S,GOBCH,GOBCO,GOBCS,GOPENH,GOPENO,GOPENS,GSCH,GSCO,GSCS,GSTH,GSTO,GSTS,GVJH,GVJO,GVJS,LNT1H,LNT1O,LNT1S,LNT2H,LNT2O,LNT2S,LNT3H,LNT3O,LNT3S,LOBCH,LOBCO,LOBCS,LOPENH,LOPENO,LOPENS,LSCH,LSCO,LSCS,LSTH,LSTO,LSTS,LVJH,LVJO,LVJS,MI,ORPHAN,PWDOBCH,PWDOBCS,PWDOPENH,PWDOPENS,PWDRNT1S,PWDRNT2H,PWDROBC,PWDRSCH,PWDRSCS,PWDRVJS,TFWS,DEFOBCS_Percentile,DEFOPENS_Percentile,DEFRNT1S_Percentile,DEFRNT2S_Percentile,DEFRNT3S_Percentile,DEFROBCS_Percentile,DEFRSCS_Percentile,DEFRVJS_Percentile,DEFSCS_Percentile,EWS_Percentile,GNT1H_Percentile,GNT1O_Percentile,GNT1S_Percentile,GNT2H_Percentile,GNT2O_Percentile,GNT2S_Percentile,GNT3H_Percentile,GNT3O_Percentile,GNT3S_Percentile,GOBCH_Percentile,GOBCO_Percentile,GOBCS_Percentile,GOPENH_Percentile,GOPENO_Percentile,GOPENS_Percentile,GSCH_Percentile,GSCO_Percentile,GSCS_Percentile,GSTH_Percentile,GSTO_Percentile,GSTS_Percentile,GVJH_Percentile,GVJO_Percentile,GVJS_Percentile,LNT1H_Percentile,LNT1O_Percentile,LNT1S_Percentile,LNT2H_Percentile,LNT2O_Percentile,LNT2S_Percentile,LNT3H_Percentile,LNT3O_Percentile,LNT3S_Percentile,LOBCH_Percentile,LOBCO_Percentile,LOBCS_Percentile,LOPENH_Percentile,LOPENO_Percentile,LOPENS_Percentile,LSCH_Percentile,LSCO_Percentile,LSCS_Percentile,LSTH_Percentile,LSTO_Percentile,LSTS_Percentile,LVJH_Percentile,LVJO_Percentile,LVJS_Percentile,MI_Percentile,ORPHAN_Percentile,PWDOBCH_Percentile,PWDOBCS_Percentile,PWDOPENH_Percentile,PWDOPENS_Percentile,PWDRNT1S_Percentile,PWDRNT2H_Percentile,PWDROBC_Percentile,PWDRSCH_Percentile,PWDRSCS_Percentile,PWDRVJS_Percentile,TFWS_Percentile
100551710,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,,,,,,,,,,,,,,,,,,,,79418,,,68673,,,,,,,,,,,,,,,,,,,,,,,,37275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7064537,,,37.7226302,,,,,,,,,,,,,,,,,,,,,,,,73.3069659,,,,,,,,,,,,,,,,,,,,,,,,
100551710,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,,,,,,,,,,,,,,,,,,,,,,,,22884,,,,,,,,,,,,,,,,,,,,,64803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.2290812,,,,,,,,,,,,,,,,,,,,,43.3153897,,,,,,,,,,,,,,,,,,,,,,,,,,
100551710,"Sant Gadge Baba Amravati University,Amravati",Oil and Paints Technology,,,,,,,,,,75665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33079,,,,,,,,,,26.5477440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7055523
100552410,"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,,,,,,,,,,,,,,,,,,,,,,,56746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5074466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100552410,"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,,,,,,,,,,,,,,,,,,,,,,,72318,,,,,,,,,,,,,,,,,,,,,67655,,,57074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0471506,,,,,,,,,,,,,,,,,,,,,39.4861193,,,53.1697881,,,,,,,,,,,,,,,,,,,,,,,,
100552410,"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,,,,,,,,,,,,,,,,,,,,,77842,,,56638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4513080,,,53.6290323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100552410,"Sant Gadge Baba Amravati University,Amravati",Paper and Pulp Technology,,,,,,,,,,50595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36428,,,,,,,,,,60.5779320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9094170
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,,,,,,,,,,,,,,,,,,,,62765,,,52216,,,71404,,,,,,,,,,,,,,,,,,60363,,,22306,,,72356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3475664,,,59.0298287,,,33.4193644,,,,,,,,,,,,,,,,,,49.4727527,,,84.6278795,,,32.0471506,,,,,,,,,,,,,,,,,,,,,
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,,,,,,,,,,,,,,81008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8662506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,,,,,,,,,,,,,,,,,,,,,22532,,,19278,,,34069,,,,,,,,,,,,,,,,,,,,,26551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.4607557,,,86.7544428,,,75.8880425,,,,,,,,,,,,,,,,,,,,,81.5733941,,,,,,,,,,,,,,,,,,,,,,,
100552710,"Sant Gadge Baba Amravati University,Amravati",Petro Chemical Engineering,,,,,,,,,,32415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29721,,,,,,,,,,77.0956710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0717900
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,,,,,,,,,,,48047,,,40317,,,52260,,,34861,,,30191,,,47909,,,52649,,,33405,,,,,,53070,,,,,,35873,,,30740,,,40657,,,68467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3581594,,,70.5545884,,,59.0298287,,,75.1527993,,,78.8984052,,,63.4002446,,,58.6329715,,,76.2104005,,,,,,57.9531237,,,,,,74.3816693,,,78.3911539,,,70.2716961,,,38.2409019,,,,,,,,,,,,,,,,,,
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,,,,,,,,,,,,,,,33849,,,,,,25782,,,23050,,,23118,,,60582,,,37397,,,,,,,,,,,,29057,,,23097,,,28908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0003260,,,,,,82.0994316,,,84.0866925,,,83.9790664,,,49.3169168,,,73.1435735,,,,,,,,,,,,79.6593753,,,83.9852778,,,79.7248249,,,,,,,,,,,,,,,,,,,,
101219110,"Government College of Engineering,Yavatmal",Civil Engineering,,,,,,,,,,31008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18252,,,,,,,,,,78.2265210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.4051233
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,,,,,,,,,,,29259,,,28087,,,32727,,,24042,,,22241,,,34997,,,64068,,,22858,,,36156,,,,,,,,,24298,,,22130,,,31393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5924395,,,80.3747784,,,76.8723787,,,83.3493105,,,84.6385788,,,75.0354492,,,43.8423230,,,84.2493575,,,74.1611976,,,,,,,,,83.2244189,,,84.7041731,,,77.9242311,,,,,,,,,,,,,,,,,,,,,
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57330,,,,,,,,,,30316,,,,72986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9257123,,,,,,,,,,78.7873849,,,,31.3095917,,,,
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,,,,,,,,,,,,,,,22710,,,,,,14031,,,13617,,,16972,,,51697,,,,,,,,,,,,,,,16361,,,10352,,,22071,,,66069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.2636974,,,,,,90.3324288,,,90.5834915,,,88.3638512,,,59.3821221,,,,,,,,,,,,,,,88.7096774,,,92.8033750,,,84.7529094,,,41.7486972,,,,,,,,,,,,,,,,,
101224510,"Government College of Engineering,Yavatmal",Computer Engineering,,18665,,,,35543,,,,19604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12856,,87.1337477,,,,74.5758420,,,,86.4675169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.1409741
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,,,,,,,,,,,51982,,,44986,,,,,,46366,,,44684,,,51906,,,72661,,,46710,,,,,,51705,,,,,,45012,,,40448,,,42591,,,,,,45195,,,,,,,,,,,,,,,,,,,,,,,,,,59.1576541,,,66.4468478,,,,,,64.9984187,,,66.5276503,,,59.3186035,,,31.4049587,,,64.6842939,,,,,,59.3821221,,,,,,66.4468478,,,70.4657357,,,68.3061721,,,,,,66.1096865,,,,,,,,,,,,,,,
101229310,"Government College of Engineering,Yavatmal",Electrical Engineering,,,,,,,,,,,,,,,,,39529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1089781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
