collegeid,college name,course,merit number,seat type,percentile
100219110,"Government College of Engineering, Amravati",Civil Engineering,36594.0,DEFOPENS,80.1068911
100219110,"Government College of Engineering, Amravati",Civil Engineering,54948.0,GNT1S,68.7024004
100219110,"Government College of Engineering, Amravati",Civil Engineering,52709.0,GNT2S,70.2135829
100219110,"Government College of Engineering, Amravati",Civil Engineering,68001.0,GNT3S,59.5292331
100219110,"Government College of Engineering, Amravati",Civil Engineering,44497.0,GOBCS,75.4846987
100219110,"Government College of Engineering, Amravati",Civil Engineering,40878.0,GOPENS,77.6308856
100219110,"Government College of Engineering, Amravati",Civil Engineering,59564.0,GSCS,65.5958943
100219110,"Government College of Engineering, Amravati",Civil Engineering,79827.0,GSTS,50.5614783
100219110,"Government College of Engineering, Amravati",Civil Engineering,39863.0,LOBCS,78.1473584
100219110,"Government College of Engineering, Amravati",Civil Engineering,32388.0,LOPENS,82.424443
100219110,"Government College of Engineering, Amravati",Civil Engineering,35680.0,LSCS,80.5501725
100219110,"Government College of Engineering, Amravati",Civil Engineering,70732.0,LVJS,57.4413646
100219110,"Government College of Engineering, Amravati",Civil Engineering,78568.0,PWDOPENS,51.2359011
100219110,"Government College of Engineering, Amravati",Civil Engineering,69892.0,TFWS,57.7165019
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,22926.0,DEFOPENS,87.6299679
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,9230.0,GNT1S,94.9538024
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,11944.0,GNT3S,93.5601746
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,7323.0,GOBCS,95.9583037
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,6665.0,GOPENS,96.3108357
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,10230.0,GSCS,94.4417452
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,5798.0,LOPENS,96.774658
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,12206.0,LSCS,93.4206172
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,9088.0,ORPHAN,95.0512832
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,76042.0,PWDOPENS,53.7302794
100224210,"Government College of Engineering, Amravati",Computer Science and Engineering,6732.0,TFWS,96.2887283
100224610,"Government College of Engineering, Amravati",Information Technology,10438.0,GNT2S,94.3125425
100224610,"Government College of Engineering, Amravati",Information Technology,9767.0,GOBCS,94.6591943
100224610,"Government College of Engineering, Amravati",Information Technology,8951.0,GOPENS,95.1149971
100224610,"Government College of Engineering, Amravati",Information Technology,10484.0,GSCS,94.29291
100224610,"Government College of Engineering, Amravati",Information Technology,45550.0,GSTS,74.5211181
100224610,"Government College of Engineering, Amravati",Information Technology,18044.0,GVJS,90.3376471
100224610,"Government College of Engineering, Amravati",Information Technology,9512.0,LOBCS,94.8367501
100224610,"Government College of Engineering, Amravati",Information Technology,8061.0,LOPENS,95.582729
100224610,"Government College of Engineering, Amravati",Information Technology,16255.0,LSCS,91.2295664
100224610,"Government College of Engineering, Amravati",Information Technology,11322.0,ORPHAN,93.8349561
100224610,"Government College of Engineering, Amravati",Information Technology,82853.0,PWDOPENS,47.8470482
